Tanggal,Terakhir
1/4/2021,6011.46
31/03/2021,5985.52
30/03/2021,6071.44
29/03/2021,6166.82
26/03/2021,6195.56
25/03/2021,6122.88
24/03/2021,6156.14
23/03/2021,6252.71
22/03/2021,6301.13
19/03/2021,6356.16
18/03/2021,6347.83
17/03/2021,6277.23
16/03/2021,6309.70
15/03/2021,6324.26
12/3/2021,6358.21
10/3/2021,6264.68
9/3/2021,6199.65
8/3/2021,6248.46
5/3/2021,6258.75
4/3/2021,6290.80
3/3/2021,6376.76
2/3/2021,6359.21
1/3/2021,6338.51
26/02/2021,6241.80
25/02/2021,6289.65
24/02/2021,6251.05
23/02/2021,6272.81
22/02/2021,6255.31
19/02/2021,6231.93
18/02/2021,6200.31
17/02/2021,6227.73
16/02/2021,6292.40
15/02/2021,6270.32
11/2/2021,6222.52
10/2/2021,6201.83
9/2/2021,6181.67
8/2/2021,6208.87
5/2/2021,6151.73
4/2/2021,6107.22
3/2/2021,6077.75
2/2/2021,6043.84
1/2/2021,6067.54
29/01/2021,5862.35
28/01/2021,5979.39
27/01/2021,6109.17
26/01/2021,6140.17
25/01/2021,6258.57
22/01/2021,6307.13
21/01/2021,6413.89
20/01/2021,6429.76
19/01/2021,6321.86
18/01/2021,6389.83
15/01/2021,6373.41
14/01/2021,6428.31
13/01/2021,6435.21
12/1/2021,6395.67
11/1/2021,6382.94
8/1/2021,6257.83
7/1/2021,6153.63
6/1/2021,6065.68
5/1/2021,6137.34
4/1/2021,6104.90
30/12/2020,5979.07
29/12/2020,6036.17
28/12/2020,6093.55
23/12/2020,6008.71
22/12/2020,6023.29
21/12/2020,6165.62
18/12/2020,6104.32
17/12/2020,6113.38
16/12/2020,6118.40
15/12/2020,6010.13
14/12/2020,6012.52
11/12/2020,5938.33
10/12/2020,5933.70
8/12/2020,5944.41
7/12/2020,5930.76
4/12/2020,5810.48
3/12/2020,5822.94
2/12/2020,5813.99
1/12/2020,5724.74
30/11/2020,5612.42
27/11/2020,5783.33
26/11/2020,5759.92
25/11/2020,5679.25
24/11/2020,5701.03
23/11/2020,5652.76
20/11/2020,5571.66
19/11/2020,5594.06
18/11/2020,5557.52
17/11/2020,5529.94
16/11/2020,5494.87
13/11/2020,5461.06
12/11/2020,5458.60
11/11/2020,5509.51
10/11/2020,5462.74
9/11/2020,5356.00
6/11/2020,5335.53
5/11/2020,5260.33
4/11/2020,5105.20
3/11/2020,5159.45
2/11/2020,5115.13
27/10/2020,5128.23
26/10/2020,5144.05
23/10/2020,5112.19
22/10/2020,5091.82
21/10/2020,5096.45
20/10/2020,5099.84
19/10/2020,5126.33
16/10/2020,5103.41
15/10/2020,5105.15
14/10/2020,5176.10
13/10/2020,5132.57
12/10/2020,5093.10
9/10/2020,5053.66
8/10/2020,5039.14
7/10/2020,5004.33
6/10/2020,4999.22
5/10/2020,4958.77
2/10/2020,4926.73
1/10/2020,4970.09
30/09/2020,4870.04
29/09/2020,4879.10
28/09/2020,4906.55
25/09/2020,4945.79
24/09/2020,4842.76
23/09/2020,4917.96
22/09/2020,4934.09
21/09/2020,4999.36
18/09/2020,5059.22
17/09/2020,5038.40
16/09/2020,5058.48
15/09/2020,5100.87
14/09/2020,5161.83
11/9/2020,5016.71
10/9/2020,4891.46
9/9/2020,5149.38
8/9/2020,5244.07
7/9/2020,5230.20
4/9/2020,5239.85
3/9/2020,5280.81
2/9/2020,5311.97
1/9/2020,5310.68
31/08/2020,5238.49
28/08/2020,5346.66
27/08/2020,5371.47
26/08/2020,5340.33
25/08/2020,5338.89
24/08/2020,5277.04
19/08/2020,5272.81
18/08/2020,5295.17
14/08/2020,5247.69
13/08/2020,5239.25
